epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds,peak_gpu_memory_mb
1,0.001,2.8669887241898633,0.06482885972432896,2.847328089960251,0.07537091988130563,50.85410430000002,3177.8193359375
2,0.001,2.837783688661771,0.06608190991228649,2.8129537067356734,0.058160237388724036,48.592725599999994,3177.8193359375
3,0.001,2.826036875837437,0.06430125964518894,2.82015200566821,0.05697329376854599,48.50327159999961,3177.8193359375
4,0.001,2.8258794438813015,0.06555430983314647,2.793709348995537,0.052818991097922846,48.36190350000015,3177.8193359375
5,0.001,2.818352614529001,0.06608190991228649,2.8179130936234924,0.05163204747774481,48.43813330000012,3177.8193359375
6,0.001,2.8245174580227927,0.06819231022884653,2.8158255918089643,0.05400593471810089,48.322553699999844,3177.8193359375
7,0.001,2.8262182435377414,0.06522455978368397,2.7921536773885394,0.05459940652818991,48.52965859999995,3177.8193359375
8,0.001,2.820520761561317,0.06568620985293148,2.786493625131488,0.049851632047477744,48.39024749999999,3177.8193359375
9,0.001,2.817652119799622,0.06595000989250148,2.7991405339906055,0.0486646884272997,48.37446829999999,3177.8193359375
10,0.001,2.8195907342389117,0.06436720965508144,2.8068855840303777,0.06706231454005934,48.281259899999895,3177.8193359375
11,0.001,2.8199233120085108,0.0709622106443316,2.7910990474485855,0.07240356083086054,48.16299590000017,3177.8193359375
12,0.001,2.8119925219583566,0.07630416144562421,2.7597419111947983,0.08011869436201781,48.87894019999976,3177.8193359375
13,0.001,2.7376465980448272,0.09879311481896723,2.6701682361014165,0.09495548961424333,49.07106109999995,3177.8193359375
14,0.001,2.683968970386128,0.11178526676779002,2.6427607273135765,0.0973293768545994,48.31512819999989,3177.8193359375
15,0.001,2.691827095648485,0.11442326716349008,2.6360992469844198,0.10385756676557864,48.352006099999926,3177.8193359375
16,0.001,2.6885133240410513,0.1154784673217701,2.6294055177479185,0.11572700296735905,48.23135679999996,3177.8193359375
17,0.001,2.6417004691338244,0.12405196860779528,2.609800467646794,0.12403560830860534,48.25412090000009,3177.8193359375
