epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds,peak_gpu_memory_mb
1,5e-05,0.7558509025552975,0.5891314383697157,0.8270888147439023,0.5632047477744807,19.76159910000024,964.615234375
2,5e-05,0.7378025541816248,0.599155839873376,0.8452460722682738,0.5507418397626113,20.707518100000016,964.615234375
3,5e-05,0.7290319102322891,0.5971113895667084,0.8151195696624167,0.5632047477744807,20.312290800000483,964.615234375
4,5e-05,0.7266824201976829,0.602321440348216,0.8318460738977268,0.5590504451038576,20.668405499999608,964.615234375
5,5e-05,0.7265166543659494,0.600342940051441,0.8059386493544196,0.5620178041543027,18.20752580000044,964.615234375
6,5e-05,0.7243392039067055,0.6027830904174636,0.8399276049271536,0.5525222551928783,20.860042199999953,964.615234375
7,5e-05,0.7186456009532345,0.601266240189936,0.8304616579316136,0.5602373887240356,20.764441600000282,964.615234375
8,5e-05,0.7148466368019679,0.6083888412583262,0.8316924361163855,0.5590504451038576,19.64968559999943,964.615234375
9,5e-05,0.7101127194287492,0.6064762909714436,0.8332954314059249,0.5578635014836796,19.67147489999934,964.615234375
10,5e-05,0.7105415213794403,0.6073336411000462,0.8272484635740784,0.5548961424332344,21.31237349999992,964.615234375
11,5e-05,0.7080907973585598,0.6086526412978962,0.8114547051025074,0.5608308605341247,21.631093499999224,964.615234375
12,5e-05,0.7008781313841146,0.6106970916045638,0.8208807955156094,0.5584569732937685,19.984678499999063,964.615234375
13,5e-05,0.7073720252459639,0.6106970916045638,0.8309835918579328,0.5537091988130564,20.774023500000112,964.615234375
14,5e-05,0.7037502884715432,0.6077952911692936,0.8315950518899572,0.5602373887240356,20.91208430000006,964.615234375
15,5e-05,0.6998332750983598,0.6122798918419837,0.8137852382235428,0.5560830860534125,20.651017199999842,964.615234375
