epoch,learning_rate,train_loss,train_accuracy,validation_loss,validation_accuracy,epoch_seconds,peak_gpu_memory_mb
1,0.001,2.8613904108356802,0.06252060937809141,2.8362322565356064,0.08249258160237388,13.049080700002378,453.4013671875
2,0.001,2.84418690266729,0.06350985952647893,2.82578437986289,0.052818991097922846,8.942341699999815,453.4013671875
3,0.001,2.8471504064692144,0.06476290971443646,2.851703536545841,0.055786350148367955,8.986710500001209,453.4013671875
4,0.001,2.832391411822759,0.06252060937809141,2.826993091453077,0.05222551928783383,9.962250000000495,453.4013671875
5,0.001,2.8211004491894207,0.06726901009035151,2.828770107331545,0.05222551928783383,9.921644499998365,453.4013671875
6,0.001,2.8307803070247233,0.06627975994196399,2.844897722136727,0.07062314540059347,10.12519809999867,453.4013671875
7,0.001,2.82425803689429,0.06047615907142386,2.799308617673925,0.0629080118694362,10.138965199999802,453.4013671875
8,0.001,2.8315841918302023,0.06350985952647893,2.8496993506343853,0.0486646884272997,10.09959969999909,453.4013671875
9,0.001,2.813791918407084,0.062190859328628896,2.8475515601896744,0.05341246290801187,10.113391899998533,453.4013671875
10,0.001,2.8139985525017637,0.06073995911099387,2.7973879436357083,0.05400593471810089,10.375140100000863,453.4013671875
11,0.001,2.811383708158741,0.06423530963529644,2.7938379923030956,0.055786350148367955,10.244007799999963,453.4013671875
12,0.001,2.8095991004073886,0.06324605948690892,2.8020333604218344,0.07062314540059347,10.335783599999559,453.4013671875
13,0.001,2.8096452930440123,0.06397150959572644,2.799297485436459,0.0599406528189911,9.968561699999555,453.4013671875
14,0.001,2.8087593019303454,0.066543559981534,2.8581188199074403,0.058160237388724036,9.895131199999014,453.4013671875
15,0.001,2.730768293643512,0.0979357646903647,2.7885563117460257,0.0913946587537092,10.022226799999771,453.4013671875
16,0.001,2.5338757860938075,0.15221262283189343,2.52316054378136,0.16379821958456972,10.318151499999658,453.4013671875
17,0.001,2.2659327451765936,0.22376838356525752,2.3271769338262542,0.21246290801186943,10.263104199999361,453.4013671875
18,0.001,2.078119990348124,0.2699333904900086,4.3630132912882,0.20356083086053411,10.198931099999754,453.4013671875
19,0.001,1.9986940574765497,0.28622304293345646,5.649267202315062,0.2516320474777448,10.261033700000553,453.4013671875
20,0.001,1.9465853573267609,0.3056782958517444,4.982075931764144,0.2623145400593472,10.139948300002288,453.4013671875
21,0.001,1.9046433816396064,0.31352634702895205,5.189953459900989,0.286053412462908,10.178020300001663,453.4013671875
22,0.001,1.8812513302696936,0.3226274483941173,2.0794918131050086,0.29376854599406527,10.406470900001295,453.4013671875
23,0.001,1.8577020880195307,0.3263865989579898,7.69551864476869,0.2913946587537092,10.376795699998183,453.4013671875
24,0.001,1.8235878394617535,0.33660885049132755,6.489779167288488,0.27299703264094954,13.028187899999466,453.4013671875
25,0.001,1.8080481039002083,0.3422146013321902,1.8297501436680643,0.3264094955489614,17.542315400001826,453.4013671875
26,0.001,1.79024545876574,0.3497329024599354,1.8992061811667875,0.3311572700296736,13.536670500001492,453.4013671875
27,0.001,1.7470967949108926,0.3640440546066082,2.4204751807079825,0.31632047477744807,13.111520200000086,453.4013671875
28,0.001,1.7191111323528898,0.37532150629822597,3.32307468564291,0.3258160237388724,11.496989700000995,453.4013671875
29,0.001,1.6947126663321597,0.3812570071885511,3.5037440226410546,0.32997032640949553,9.931224799998745,453.4013671875
30,0.001,1.6660730883902675,0.3937875090681264,2.4679201532188437,0.3513353115727003,10.067544000001362,453.4013671875
31,0.001,1.6399453672186284,0.40539471080920664,2.035928439103531,0.3578635014836795,10.387847699999838,453.4013671875
32,0.001,1.6205714986544915,0.4123194618479193,3.183786010459198,0.36379821958456976,10.573122399997374,453.4013671875
33,0.001,1.5851484091671997,0.42425641363846206,1.8049440967576793,0.3863501483679525,10.636488099997223,453.4013671875
34,0.001,1.5669508662912828,0.4358636153795423,1.870623438860613,0.37388724035608306,10.648806700002751,453.4013671875
35,0.001,1.5424504116485154,0.4487898173184726,4.014028153858129,0.4089020771513353,10.398494699998992,453.4013671875
36,0.001,1.5146573798477057,0.45564861834729276,1.9257351428181906,0.3881305637982196,10.561825900000258,453.4013671875
37,0.001,1.49395927924213,0.4629031194354679,3.120125733780224,0.4136498516320475,10.483479099999386,453.4013671875
38,0.001,1.4705832062174509,0.46850887027633054,1.6460178160879662,0.42077151335311574,10.445097200001328,453.4013671875
39,0.001,1.441775672583406,0.47714832157224824,6.535656999763466,0.3916913946587537,10.157612799997878,453.4013671875
40,0.001,1.4261649646238892,0.4804458220668733,3.7100913095898727,0.4195845697329377,10.20808119999856,453.4013671875
41,0.001,1.4057401302487713,0.487238673085801,1.9865086562555692,0.4356083086053412,10.209616399999504,453.4013671875
42,0.001,1.3852789021651568,0.4906021235903185,2.990892351275028,0.4201780415430267,10.178171499999735,453.4013671875
43,0.001,1.374412409730773,0.4969992745498912,3.4021655552465058,0.4332344213649852,10.384696500001155,453.4013671875
44,0.001,1.3510263380554322,0.5006265250939788,8.154831044680995,0.44925816023738874,10.238664400003472,453.4013671875
45,0.001,1.3447557287984133,0.4995053749258062,1.7281815842987875,0.456379821958457,10.404671500000404,453.4013671875
46,0.001,1.3312252784147982,0.5059684758952714,9.877573001420108,0.41899109792284867,10.080930799998896,453.4013671875
47,0.001,1.3237615772093347,0.5122337268350591,3.8866711192031995,0.4421364985163205,9.853197399999772,453.4013671875
48,0.001,1.3151320608358918,0.5152674272901141,1.5525150599041042,0.4676557863501484,9.882456600000296,453.4013671875
49,0.001,1.3043875461642647,0.5200158280023742,2.952279182003938,0.4427299703264095,10.273340600000665,453.4013671875
50,0.001,1.2891360669040761,0.5268086790213019,2.476363433503963,0.4646884272997033,9.946422599998186,453.4013671875
51,0.001,1.2823857576773332,0.534458880168832,1.7302153539940581,0.44866468842729973,10.594585700000607,453.4013671875
52,0.001,1.2672324465123517,0.5376904306535646,5.477364236452459,0.4356083086053412,11.58773790000123,453.4013671875
53,0.001,1.2625682430705083,0.5400646310096947,1.7984186527637063,0.4629080118694362,9.865577899996424,453.4013671875
54,0.001,1.24608048430881,0.5482424322363648,7.818228504848763,0.4545994065281899,10.035097800002404,453.4013671875
